"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"Indonesia","536","Financial Markets Depth Index","FD_FMD_IX","Value","0.206663429737091","0.211883425712585","0.201485708355904","0.233290374279022","0.219048768281937","0.242425978183746","0.248921006917953","0.238810643553734","0.239884734153748","0.258227109909058","0.241153866052628",
"Bangladesh","513","Financial Markets Depth Index","FD_FMD_IX","Value","0.0976511314511299","0.0993416458368301","0.0889841169118881","0.136932104825974","0.114038929343224","0.0936693251132965","0.113431088626385","0.0837914794683456","0.0674736425280571","0.0825622901320457","0.0813948214054108",
"Bangladesh","513","Financial Markets Efficiency Index","FD_FME_IX","Value","0.0575639791786671","0.0575639791786671","0.0298206172883511","0.285060733556747","0.256587266921997","0.268556028604507","0.379612296819687","0.257464736700058","0.251541018486023","0.205148965120316","0.205148965120316",
"Bhutan","514","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.695202052593231","0.684655487537384","0.664854109287262","0.676153242588043","0.655448257923126","0.659089267253876","0.657381892204285","0.652478873729706","0.649879693984985","0.582894086837769","0.650139570236206",
"Brunei Darussalam","516","Financial Institutions Access Index","FD_FIA_IX","Value","0.627457320690155","0.674839854240417","0.634792923927307","0.598573803901672","0.596572935581207","0.567379355430603","0.523058474063873","0.53032910823822","0.531882762908936","0.533851981163025","0.51215523481369",
"Brunei Darussalam","516","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.624494552612305","0.63124281167984","0.645327627658844","0.651187658309937","0.672658741474152","0.695306301116943","0.690132856369019","0.719699800014496","0.691599488258362","0.690838992595673","0.688677489757538",
"Myanmar","518","Financial Institutions Access Index","FD_FIA_IX","Value","0.0201115440577269","0.0222975946962833","0.0349253267049789","0.0473211742937565","0.0481221340596676","0.0517015755176544","0.0746157094836235","0.0847047045826912","0.0961816236376762","0.0961816236376762","0.0961816236376762",
"Cambodia","522","Financial Institutions Index","FD_FI_IX","Value","0.202358201146126","0.221437260508537","0.23887899518013","0.261029332876205","0.279330164194107","0.295866429805756","0.30847704410553","0.324828743934631","0.36082062125206","0.390453010797501","0.409645944833755",
"Sri Lanka","524","Financial Development Index","FD_FD_IX","Value","0.269347041845322","0.24267552793026","0.250007688999176","0.254536509513855","0.248616024851799","0.244796186685562","0.252168208360672","0.251716613769531","0.245990231633186","0.248408988118172","0.261207163333893",
"Sri Lanka","524","Financial Institutions Index","FD_FI_IX","Value","0.310278743505478","0.314093083143234","0.318178683519363","0.328606128692627","0.334317862987518","0.337080478668213","0.338633686304092","0.335777789354324","0.336291551589966","0.337976723909378","0.342261373996735",
"Sri Lanka","524","Financial Institutions Access Index","FD_FIA_IX","Value","0.187366530299187","0.198191329836845","0.2051652520895","0.208361402153969","0.210056632757187","0.211088061332703","0.209214553236961","0.208107635378838","0.208314657211304","0.206897094845772","0.204287722706795",
"China, P.R.: Hong Kong","532","Financial Markets Index","FD_FM_IX","Value","0.797813296318054","0.696240544319153","0.702540457248688","0.714780151844025","0.785679817199707","0.702356338500977","0.717992424964905","0.777473509311676","0.69996589422226","0.743507146835327","0.696391642093658",
"China, P.R.: Hong Kong","532","Financial Institutions Depth Index","FD_FID_IX","Value","0.910801887512207","0.921456933021545","0.934163451194763","0.933915138244629","0.93364542722702","0.935851752758026","0.961075067520142","0.95028817653656","0.970486998558044","1","1",
"India","534","Financial Institutions Index","FD_FI_IX","Value","0.38781726360321","0.394130557775497","0.395046323537826","0.408551067113876","0.411461919546127","0.439284145832062","0.436115026473999","0.423744410276413","0.435967832803726","0.461849927902222","0.463954210281372",
"India","534","Financial Institutions Access Index","FD_FIA_IX","Value","0.161856725811958","0.179134055972099","0.195230737328529","0.228840187191963","0.245449438691139","0.260231286287308","0.267176508903503","0.265373080968857","0.263955354690552","0.268026918172836","0.265823513269424",
"Indonesia","536","Financial Development Index","FD_FD_IX","Value","0.31217423081398","0.329879224300385","0.351758062839508","0.354926973581314","0.35564774274826","0.359747558832169","0.358869969844818","0.360894173383713","0.359508037567139","0.364665538072586","0.36442232131958",
"Indonesia","536","Financial Institutions Index","FD_FI_IX","Value","0.332017302513123","0.386267304420471","0.40627732872963","0.422410666942596","0.423813670873642","0.421524912118912","0.426346004009247","0.422561973333359","0.417841196060181","0.405308663845062","0.410443365573883",
"Indonesia","536","Financial Institutions Depth Index","FD_FID_IX","Value","0.123915776610375","0.13415390253067","0.135122627019882","0.137447446584702","0.141240864992142","0.147271886467934","0.148837402462959","0.144437938928604","0.147123903036118","0.147207573056221","0.1618562489748",
"Timor-Leste, Dem. Rep. of","537","Financial Institutions Index","FD_FI_IX","Value","0.169672265648842","0.189569130539894","0.199097871780396","0.203417718410492","0.184404909610748","0.181041345000267","0.197959825396538","0.201041862368584","0.190400436520577","0.199386984109879","0.2009197473526",
"Korea, Rep. of","542","Financial Development Index","FD_FD_IX","Value","0.831718385219574","0.852828681468964","0.850588142871857","0.840681135654449","0.840615749359131","0.845155119895935","0.836082220077515","0.812937021255493","0.830228984355927","0.837217211723328","0.818122208118439",
